Group,Sample
Group_1,4M30015MILK3_S390
Group_1,4M30015MILK_S389
Group_4,4M30015MO1_S387
Group_1,4M30015MO6_S388
Group_2,4M60004MILK_S392
Group_4,4M60004MO1_S391
Group_4,4M60005MILK3_S396
Group_2,4M60005MILK_S395
Group_4,4M60005MO1_S394
Group_4,4M60005MO6_S393
Group_4,4M60006MILK3_S399
Group_4,4M60006MILK_S398
Group_4,4M60006MO1_S397
Group_1,4M60008MILK3_S403
Group_1,4M60008MILK_S496
Group_3,4M60008MO1_S400
Group_4,4M60008MO6_S401
Group_1,4M60009MILK3_S407
Group_1,4M60009MILK_S406
Group_4,4M60009MO1_S404
Group_1,4M60009MO6_S405
Group_4,4M60012MILK3_S410
Group_4,4M60012MILK_S409
Group_4,4M60012MO6_S408
Group_4,4M60013MILK3_S414
Group_1,4M60013MILK_S413
Group_4,4M60013MO1_S411
Group_2,4M60013MO6_S412
Group_4,4M60014MILK3_S418
Group_1,4M60014MILK_S417
Group_4,4M60014MO1_S415
Group_4,4M60014MO6_S416
Group_1,4M60017MILK_S420
Group_4,4M60017MO1_S419
Group_3,4M60018MILK3_S424
Group_4,4M60018MILK_S423
Group_4,4M60018MO1_S421
Group_3,4M60018MO6_S422
Group_4,4M60019MILK3_S427
Group_1,4M60019MO1_S425
Group_1,4M60019MO6_S426
Group_1,4M60020MILK3_S431
Group_4,4M60020MILK_S430
Group_2,4M60020MO1_S428
Group_1,4M60020MO6_S429
Group_4,4M60021MILK_S432
Group_4,4M60022MILK3_S434
Group_2,4M60022MILK_S433
Group_4,4M60024MILK_S436
Group_4,4M60024MO1_S435
Group_1,4M60025MILK3_S440
Group_1,4M60025MILK_S439
Group_4,4M60025MO1_S437
Group_4,4M60025MO6_S438
Group_1,4M60026MILK_S442
Group_4,4M60026MO1_S441
Group_4,4M60028MILK3_S445
Group_4,4M60028MILK_S444
Group_4,4M60028MO1_S443
Group_4,4M60030MILK_S447
Group_4,4M60030MO1_S446
Group_1,4M60031MILK3_S450
Group_1,4M60031MILK_S449
Group_1,4M60031MO6_S448
Group_4,4M60032MILK3_S454
Group_4,4M60032MILK_S453
Group_2,4M60032MO1_S451
Group_1,4M60032MO6_S452
Group_1,4M60033MILK_S456
Group_4,4M60033MO1_S455
Group_1,4M60034MILK3_S460
Group_1,4M60034MILK_S502
Group_4,4M60034MO1_S457
Group_4,4M60034MO6_S501
Group_1,4M60035MILK3_S464
Group_1,4M60035MILK_S463
